RegionID,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
3101,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,6,37,1,12.5067,12.6364,12.5732,11.6695,10.7862,10.5783,10.5892,10.5405,10.4142,9.874,9.0949,8.9083,8.67,8.1161,8.6732,8.4939,7.7473,7.5277,7.5329,7.3551,6.7988,6.2113,5.9797,5.8329,5.776,5.8148,5.9793,5.429,5.0831,5.257,4.9845,4.7333,4.2252,4.0145,4.0296,3.9363,4.0721,3.6628,2.666,2.827,3.124,3.3323,3.3279,3.4771,3.069,3.2935,3.188,3.0712,3.2162,3.0669,2.9962,3.1239,2.9509,2.6746,2.498,2.3685,2.0928,2.0172,1.7508,1.665,1.563,1.2672,1.0931,1.0505,1.0904,1.0903,1.0423,0.9793,0.923,0.94,0.7724,0.8181,0.8681,0.7864,0.6402,0.5488,0.4962,0.4976,0.4328,0.3823,0.3669,0.3976,0.3536,0.3058,0.3022,0.314,0.294,0.2792,0.2672,0.2996,0.2903,0.3145,0.3302,0.3386,0.3303,0.3359,0.3682,0.4154,0.5038,0.5438,0.5631,0.6206,0.7814,1.1217,1.1598,1.6645,1.879,2.1897,2.7809,3.1907,3.943,4.6502,4.9045,5.7678,6.4775,7.6216,8.0867,9.625,8.7133,10.2789,13.7665,15.8114,15.3693,16.2151,18.6816,21.6778,23.7919,25.5521,24.779,20.2339,16.4134,14.7743,15.5039,16.6738,14.2603,12.1526,11.6988,15.644,17.7268,17.3237,15.5987,16.1504,15.9582,16.8665,15.7914,14.3369,14.5524,15.7448,15.5756,14.8235,13.6564,13.6286,15.0231,14.6985,12.7642,11.3618,12.4339,13.1177,14.6545,14.0019,13.9207,14.6564,14.1587,14.1143,13.7575,12.7123,11.6539,11.6542,10.8717,10.3453,9.4966,8.2375,7.6518,7.4077,7.2765,7.5597,7.8486,8.236,7.9256,7.2915,6.4888,5.303,4.5591,4.2904,3.8049,3.2168,3.087,2.8179,2.652,2.7462,2.712,2.9154,2.9655,2.6994,2.6806,2.7512,2.6382,2.5877,2.6122,2.3726,2.367,2.4411,2.2706,2.4043,2.4042,2.2698,2.356,2.5138,2.3053,2.2397,2.1037,2.0458,1.9696,1.9445,1.8482,2.0575,2.126,1.955,1.8989,1.8258,1.7235,1.2848,0.9858,0.7972,0.8164,0.7566,0.7549,0.8055
2402,Maricopa,AZ,Phoenix,4,13,2,1.6791,1.6075,1.5842,1.6743,1.749,2.0517,2.1483,2.2898,2.2506,2.0182,2.1348,1.9986,2.051,2.0631,2.1906,2.0252,2.0128,2.0598,2.0856,2.0761,1.9442,1.7373,1.7636,1.7509,1.9632,1.8686,1.7518,1.6422,1.5101,1.6656,1.7553,1.9381,1.9135,1.9793,1.8776,1.8327,1.9754,1.8627,1.2994,1.5754,2.0808,2.3832,2.3877,2.5249,2.2784,2.602,2.6271,2.4365,2.8607,3.0742,3.1925,3.2282,3.4448,3.3588,3.3031,3.2543,3.274,3.3805,3.0065,3.0841,3.2821,3.3997,3.3617,3.3696,3.472,3.7121,3.9435,3.9094,3.9379,4.0442,3.7234,3.7,4.0782,3.8486,3.8565,3.5441,3.3556,3.1981,3.0818,2.9794,2.592,2.3003,2.1724,2.0838,2.0062,1.7645,1.6309,1.3633,1.1939,0.9466,0.7687,0.6452,0.5364,0.4697,0.4401,0.3691,0.3959,0.3693,0.3476,0.3459,0.396,0.4423,0.4649,0.5967,0.7515,0.9702,1.3081,1.7228,2.5464,2.9768,3.9256,4.2048,4.5413,5.2543,6.2984,8.1608,8.6043,10.534,11.6708,13.2698,15.9563,18.6025,18.3564,21.0031,25.0894,29.4867,32.9073,33.8133,35.5876,37.5924,35.7641,33.8813,34.3084,39.6014,35.0868,29.4864,29.0514,35.7692,41.5027,38.379,33.85,36.4648,35.5239,39.8397,39.1514,37.9907,41.6283,40.3084,37.6924,38.515,41.1269,43.0641,44.0766,40.5712,31.4168,29.1097,34.0092,38.89,42.7922,42.4525,40.1541,37.002,32.4327,30.7323,27.2801,23.2363,21.6898,22.9773,23.3215,21.0462,19.0712,16.7154,16.9779,16.1473,16.4255,19.3243,18.2045,17.3541,15.7434,13.3446,11.1434,10.1117,9.6418,9.4752,9.5969,7.8004,7.3222,6.9171,6.6639,6.3892,5.8816,5.8132,5.7596,5.3957,5.1233,4.5865,4.3696,4.1457,4.3415,4.1229,3.9636,4.1828,3.7846,3.4807,3.3202,3.1492,3.3976,3.5496,3.2453,3.1676,3.3553,3.1858,3.0762,3.0639,2.776,2.838,2.9529,2.8324,2.847,2.5765,2.456,2.2222,1.8923,1.7172,1.451,1.3328,1.3097,1.2308
2841,San Diego,CA,San Diego,6,73,3,4.4939,4.2714,4.1803,3.8735,3.552,3.4675,3.5006,3.2923,3.0086,2.8892,2.6477,2.4918,2.5006,2.409,2.403,2.1156,1.8915,1.7802,1.9253,1.9525,1.7213,1.5024,1.4023,1.3511,1.4172,1.2943,1.3208,1.0597,1.0161,1.2046,1.1707,1.161,0.9855,0.8885,0.7507,0.6957,0.6815,0.5786,0.4014,0.3683,0.4008,0.4858,0.5119,0.4832,0.5518,0.5909,0.6076,0.5537,0.6726,0.5816,0.5358,0.4309,0.3724,0.4071,0.3525,0.3192,0.2641,0.3106,0.2332,0.2195,0.2339,0.2051,0.2163,0.2065,0.1584,0.2256,0.1944,0.162,0.1193,0.1242,0.1009,0.166,0.2394,0.2207,0.1915,0.1609,0.1823,0.1463,0.1709,0.1547,0.1675,0.1279,0.1265,0.1137,0.111,0.1153,0.1043,0.1464,0.2313,0.2005,0.2715,0.2785,0.2661,0.2685,0.3672,0.5394,0.6674,0.6548,0.8099,1.0694,1.3056,1.5225,1.912,2.0536,2.3823,2.9655,3.2161,3.8583,4.887,5.6335,6.3279,7.2483,7.8669,9.0054,9.5589,11.1277,11.2119,12.2009,9.9819,12.3125,16.9001,19.9511,18.6089,19.5401,22.1589,25.3761,28.1465,29.4735,28.4882,22.6085,18.3065,17.9314,17.7826,18.5398,14.9605,13.1683,13.1727,18.923,20.1972,19.1312,17.2282,17.2756,16.77,17.8712,16.7171,15.3598,15.7165,17.1282,16.4679,16.0199,14.6634,14.8791,15.7926,15.661,13.3599,11.5257,12.7675,13.6245,14.8238,14.5371,13.782,13.7001,12.8545,12.5472,12.3237,11.3911,10.591,10.565,11.0035,10.3548,8.7791,7.9417,7.1447,6.7398,6.7074,7.1372,7.4805,7.5694,7.1154,6.3477,5.9747,4.8628,4.0921,4.0214,3.3688,2.7135,2.3845,2.3239,2.2453,2.4476,2.5075,2.3276,2.2765,2.2035,2.1782,2.3069,2.2702,2.1475,2.0501,1.9985,1.889,1.9358,1.9467,2.0288,2.0194,1.8892,1.8369,2.0352,1.867,1.7426,1.6238,1.615,1.4945,1.7484,1.7393,1.8197,1.5936,1.4316,1.3489,1.3357,1.4027,1.104,0.7333,0.722,0.7667,0.6943,0.738,0.6528
1286,Orange,CA,Los Angeles-Long Beach-Anaheim,6,59,4,6.2661,6.0708,5.7879,5.2846,4.697,4.4326,4.0853,3.8929,3.7601,3.5049,3.1862,3.0771,2.8912,2.8045,3.232,3.2048,2.5025,2.1612,2.0422,2.0404,1.88,1.6413,1.4517,1.4386,1.4305,1.4149,1.5774,1.4592,1.4131,1.4143,1.3336,1.2051,1.0152,1.0595,1.091,0.9203,0.8904,0.7819,0.6465,0.6332,0.7388,0.9207,0.794,0.7557,0.7212,0.804,0.7273,0.7403,0.8336,0.789,0.6832,0.7851,0.7787,0.6618,0.5744,0.56,0.578,0.5352,0.5246,0.4516,0.4917,0.446,0.4043,0.4657,0.4391,0.3749,0.3272,0.282,0.2704,0.3287,0.279,0.2745,0.2508,0.1938,0.1836,0.1559,0.1337,0.1743,0.1483,0.1435,0.1554,0.1512,0.1255,0.13,0.134,0.1434,0.1725,0.165,0.153,0.1444,0.1443,0.2014,0.2139,0.1762,0.181,0.3018,0.3761,0.3243,0.3945,0.4058,0.5039,0.5654,0.6624,0.7819,0.9758,1.3276,1.5085,1.7698,2.1164,2.4055,2.8302,3.3572,3.9473,4.4839,5.1621,6.3269,6.9554,7.7446,6.9177,8.4332,10.8356,11.7182,11.4761,12.3672,15.3033,17.7531,19.5937,20.8587,19.077,14.4238,10.9037,9.8157,11.0911,11.5873,9.1255,6.9119,6.5688,8.7385,9.7601,9.5237,8.64,8.3337,7.9175,8.6939,9.3311,8.9133,9.6523,10.7116,10.6927,10.1073,9.7012,9.7103,10.4795,10.4525,9.235,8.4027,8.9922,9.2712,9.9244,9.5248,9.7468,9.7066,9.5631,9.7274,9.3994,8.3971,7.9706,8.0621,8.1448,7.7554,7.1978,6.1376,5.1973,4.7694,4.6282,4.829,4.9518,5.1413,4.8613,4.7713,4.329,3.3446,2.8991,2.6962,2.4091,2.1652,1.9998,1.7855,1.7783,1.8365,1.6453,1.4852,1.641,1.4476,1.5514,1.575,1.466,1.327,1.3442,1.2215,1.2744,1.4594,1.3712,1.3115,1.3287,1.4524,1.4986,1.4284,1.2756,1.2903,1.2696,1.0787,1.0402,0.9538,0.9187,1.1589,1.189,1.1766,1.145,1.1034,0.9599,0.6757,0.5727,0.4997,0.5209,0.5255,0.4231,0.4462
581,Kings,NY,New York,36,47,5,1.386,1.5755,1.7853,1.273,0.9066,0.6732,0.9726,1.418,1.1933,1.2676,1.1505,0.9681,0.8126,0.9175,1.6378,1.9971,1.2982,1.0252,0.9094,0.8587,1.1238,1.4534,1.2784,2.143,2.6414,1.8438,1.6224,1.7196,1.8557,1.3363,1.1301,1.0153,1.0113,0.7111,0.6632,0.8394,0.8373,1.6046,1.8061,1.3995,,,,,,,0.3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2915,0.7297,0.8792,0.7415,0.6596,0.3181,0.0994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,0.393,0.4639,0.409,0.5546,0.8377,0.5426,0.4436,0.6892,0.6748,0.7513,0.8592,0.9783,0.7988,0.6534,0.7418,0.8447,0.7972,0.8858,0.733,0.3429,0.498,0.4292,0.3587,0.4688,0.5281,0.477,0.3439,0.2808,0.5658,0.591,0.6916,0.5999,0.5,0.6434,0.4885,0.4968,0.4192,0.3478,0.2214,0.3118,0.6006,0.5797,0.2787,0.1343,0.1171,0.2087,0.195,0.243,0.2538,0.2708,0.1344,0.1804,0.329,0.2815,0.2447,0.4709,0.2903,0.1231,0.1791,0.1162,,0.1349,0.183,0.148,0.106,0.0923,0.0461,0.0579,,0.1557,0.0999,,0.0889,0.2799,0.3033,0.3208,0.2416,0.2822,0.2319,0.201,0.2167,0.29,0.2868,0.1407,0.1686,0.0914,0.168,0.1751,0.2269,0.1594,0.2413,0.2644,0.3591,0.6741,0.4917,0.5047,0.409,0.379,0.2532,0.3261,0.2211,0.2239,0.4101,0.7284,0.6355,0.6065,0.3758,0.202,0.0577,,,,,
978,Dallas,TX,Dallas-Fort Worth,48,113,6,2.7068,2.911,2.9484,3.3432,2.8798,2.4824,2.5496,2.4735,2.2998,2.7057,2.4672,2.2859,2.6738,2.4187,2.1671,2.3939,2.5263,2.4684,2.5555,2.3498,1.9357,1.8363,2.0902,2.484,2.3401,2.3953,2.5451,2.3649,2.1595,2.0739,1.9325,1.8998,2.1262,2.1549,2.2306,2.1305,2.4345,2.8189,2.6223,2.3431,2.2352,2.2266,2.1473,2.0607,2.387,2.4162,2.7188,3.0586,2.9601,3.1486,3.1141,3.3386,3.5989,3.5889,3.8694,4.5255,5.576,5.378,5.23,6.0456,6.1422,6.3351,6.6125,5.8769,5.8343,4.7043,4.6234,5.1908,5.6196,6.3199,6.1006,6.4353,7.2361,6.8628,6.6057,7.3974,7.1528,6.9039,7.8606,7.6589,8.4128,8.0755,7.9362,8.7215,8.9976,8.629,7.9266,8.5737,8.2853,8.1935,7.4374,7.3139,8.4916,8.8606,7.1332,7.7592,9.0036,9.7295,10.5618,11.0311,10.7352,11.674,11.3722,11.2518,11.7079,11.608,12.8737,11.8678,12.5879,13.5419,12.789,12.0063,11.8911,13.2822,12.2433,13.0823,13.1041,12.9858,14.1691,13.8658,13.1955,15.4069,15.0429,14.7174,15.2814,14.2248,12.6143,12.946,13.5337,13.5726,13.2058,12.8846,12.8084,13.9748,12.6446,10.6011,10.8785,11.2372,12.662,12.3398,11.6245,12.1979,13.4965,13.2574,14.1243,13.1595,12.5682,13.2769,12.4384,11.7868,12.5008,12.2677,14.0206,13.5748,11.468,11.6745,11.0955,10.5901,10.0229,10.4746,10.1378,10.553,9.5834,9.2994,9.5715,9.3127,10.2053,10.893,11.5049,11.3137,10.8179,9.6324,9.2354,9.9509,9.8109,10.3727,9.9593,9.4543,9.6125,8.8601,7.0213,6.4796,6.0682,5.4291,4.8828,5.1818,5.7216,7.3439,7.8725,6.891,5.9679,5.4298,6.2831,5.7778,5.4148,5.0473,5.2128,5.4848,5.3235,5.0918,4.7246,5.0635,4.9246,5.1894,5.6871,5.4889,5.0217,4.9141,4.7964,4.333,3.4081,3.3878,3.3542,3.7843,3.8171,4.3427,5.047,4.752,4.0287,3.995,3.5933,2.5452,1.8418,1.6167,1.5414,0.7553,0.2198,0.2752
1347,Queens,NY,New York,36,81,7,1.3074,1.496,1.4441,1.3331,1.2137,1.3921,1.4536,1.2986,1.0758,1.1256,1.1227,1.0406,1.1221,1.2648,1.7588,1.5829,1.5036,1.5452,1.6054,1.6578,1.1779,0.6908,0.4974,0.2708,0.1933,0.29,0.3692,0.265,0.2698,0.2347,0.2166,0.2569,0.2044,0.5248,0.554,0.7068,0.6499,0.9096,1.1177,0.7384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1217,0.2938,0.5747,0.3686,0.544,0.2925,0.1213,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.4519,1.0258,1.4646,1.6163,2.1889,1.7908,1.6168,1.8653,1.9952,2.0888,2.7719,3.3028,3.4436,3.2577,3.0598,3.4036,3.342,3.3288,3.1371,2.75,3.1675,3.5288,3.3154,2.9968,3.2288,3.0329,3.0372,2.9838,3.0969,3.2041,2.608,2.4478,2.3825,2.5012,2.6622,2.3592,1.9752,1.8204,1.8855,2.1026,2.617,2.3304,1.5936,0.8874,0.6651,0.7723,0.9998,0.8947,0.6269,0.4219,0.53,0.6437,0.4872,0.4183,0.4873,0.587,0.3781,0.4586,0.3984,0.3191,0.2732,0.2689,0.2359,0.2263,0.1574,0.1649,0.2014,0.2531,0.2522,0.3632,0.3986,0.3984,0.2627,0.2209,0.2837,0.4811,0.434,0.3939,0.2741,0.3047,0.268,0.3195,0.3685,0.3773,0.4337,0.3851,0.4964,0.5577,0.5201,0.3797,0.4885,0.5569,0.5039,0.7724,0.8774,0.8304,0.8248,0.664,0.7099,0.7923,0.8222,0.7287,0.8678,0.6873,0.6299,0.746,0.9792,0.9875,0.624,0.2318,0.0408,,,,
2832,Riverside,CA,Riverside,6,65,8,13.1962,13.3429,14.1045,13.5747,12.5368,12.037,12.4037,11.9568,11.7131,11.0656,9.9589,9.8257,9.5497,8.7834,9.2423,8.9646,7.9669,8.3077,8.0781,8.0575,7.2208,6.6206,6.4791,5.9633,5.8807,5.6865,6.0582,5.6589,5.3761,5.3647,5.4216,5.3196,4.7775,4.4349,4.0653,3.7733,3.9137,3.5205,3.1952,3.1034,3.225,3.3934,3.5476,3.6085,3.1614,3.3358,3.1992,3.3352,3.6037,3.6034,3.3069,3.2445,3.1684,2.8524,2.6169,2.5242,2.2909,2.043,1.8188,1.8189,1.7922,1.6179,1.4473,1.4068,1.4283,1.3646,1.4012,1.2306,1.0372,1.1797,1.1325,1.0706,0.8859,0.7338,0.6537,0.6576,0.5706,0.4955,0.5299,0.533,0.469,0.4192,0.3955,0.3965,0.3631,0.3789,0.3457,0.403,0.3819,0.4142,0.4161,0.4639,0.4537,0.4978,0.5173,0.7817,0.8272,0.7551,0.9578,1.089,1.5256,1.8208,2.0582,2.4426,3.1315,3.8125,4.3126,5.5487,6.9779,8.0693,9.986,12.3279,13.5091,16.4547,18.6869,21.3979,21.7111,24.9483,23.2829,28.5548,37.0055,40.1285,38.5703,41.9031,49.0818,54.5482,60.7415,65.1201,63.3873,49.1976,37.3916,34.862,36.6453,40.2646,34.4237,27.9691,27.5585,37.9464,43.6089,40.3305,36.5356,37.6703,35.6439,37.9151,33.6582,30.1598,30.7089,36.3481,35.2881,33.6122,30.5892,31.1255,32.7405,31.6105,24.9074,21.5089,23.6625,26.614,30.2956,29.9285,27.6837,28.4371,26.8757,26.0063,24.9698,23.0918,20.5374,20.2077,21.8306,20.9722,18.4276,15.2192,13.9464,13.4899,13.5198,14.8577,15.9167,16.9588,16.062,13.4946,11.786,9.0752,7.328,6.8991,6.5052,6.0261,5.6406,5.3235,5.194,5.1375,5.081,5.0733,5.0922,4.2644,4.7313,4.9712,4.6482,4.4246,4.5347,4.2773,4.0433,4.1809,4.2176,4.5656,4.5206,3.9401,3.8583,3.9738,3.8338,4.1017,3.8618,3.4925,3.5763,3.2984,3.1802,3.4003,3.4858,3.3416,3.153,2.9227,2.9195,2.341,2.001,1.5654,1.3616,1.2956,1.4155,1.5055
3250,San Bernardino,CA,Riverside,6,71,9,18.2145,18.1291,20.047,20.5433,19.0254,19.6069,19.4128,18.0286,18.3284,17.3828,16.1381,16.0797,15.7525,14.6853,15.7192,15.6391,14.447,14.3303,14.3023,14.3522,13.0723,11.992,11.219,11.4162,11.0657,11.5225,11.9495,12.1445,11.9044,12.0524,11.1548,11.0069,10.4351,9.8657,9.0357,8.726,9.3386,8.9053,8.0862,8.1664,8.4199,8.2348,8.2716,9.042,8.0613,7.9719,7.6289,7.4905,7.8595,7.5149,7.1611,7.239,7.3687,7.0107,7.2685,6.8742,6.5241,6.2997,5.0959,4.5777,4.3652,4.1089,3.6514,3.3773,3.3051,3.5168,3.547,3.3466,2.947,2.7407,2.0204,2.1621,2.0536,1.9333,1.7891,1.5171,1.2767,1.3515,1.5819,1.2211,1.1844,1.0359,0.9184,0.722,0.5778,0.605,0.6164,0.5456,0.5355,0.5695,1.1525,0.9298,0.8112,0.6888,0.6516,0.551,0.6608,0.6656,0.7904,0.8663,0.9512,1.0223,1.746,1.7359,2.0786,2.4549,2.8813,3.5663,4.5582,5.399,6.8943,8.4365,9.5729,11.7481,13.5542,15.8785,16.7337,19.9267,18.4018,22.5853,29.0679,33.2503,32.5634,34.2615,40.2832,47.4295,54.2755,57.0792,54.9815,43.5386,34.6926,33.2354,35.3595,37.0857,31.1929,27.3374,26.9987,36.6577,39.9123,36.5647,32.5422,32.5557,32.0911,34.6765,32.1979,29.2479,30.522,33.0479,32.8493,31.5971,28.8355,29.4401,31.3914,30.5051,24.903,21.7052,24.0741,25.9069,28.8125,28.2472,27.6357,29.4612,27.3667,26.2207,24.6237,22.2697,19.3351,19.7925,21.8174,21.1187,18.2693,15.6809,14.5484,14.3221,14.648,15.6359,17.5362,17.3179,15.6862,13.492,12.1461,10.0398,8.7007,8.8663,7.7875,6.1962,6.4492,6.2403,6.2253,6.8549,6.4043,6.0103,5.7227,5.1975,5.5076,5.6714,5.8018,5.5597,6.555,6.0067,5.762,5.1274,4.5651,4.5935,4.286,4.245,4.2098,4.5901,4.2106,5.268,4.8225,4.4416,4.5822,3.9809,3.6319,3.6993,3.6719,3.458,3.4196,3.3252,2.8688,3.0263,2.2773,1.6761,1.6451,1.5598,1.4743,1.5353
445,Clark,NV,Las Vegas,32,3,10,3.4943,3.5858,3.9532,3.7862,3.6148,3.7883,4.1535,4.3873,4.4987,4.1436,4.2463,4.7117,5.31,4.9885,4.86,5.0274,4.8103,4.902,5.0812,5.3644,5.0479,5.0153,4.705,4.87,5.0005,5.1358,5.2779,5.0037,4.9763,5.0205,5.2449,5.5152,5.5494,5.2945,4.8963,5.2906,5.4652,5.3765,4.9399,4.905,5.2324,5.2807,5.361,5.7894,5.7622,6.068,5.6354,5.2817,5.7914,6.1861,6.2017,7.1073,7.0134,6.6544,6.5326,6.6827,6.7614,6.8859,6.097,6.0657,6.4125,6.2009,6.4111,6.6526,6.7651,5.94,6.4226,6.561,6.1184,5.566,4.7989,4.4273,4.5707,4.4186,4.102,3.8111,3.0773,2.4198,2.0169,1.707,1.5638,1.2132,1.0417,0.9105,0.9281,0.8484,0.9129,0.8466,0.7263,0.6132,0.6068,0.621,0.5798,0.5958,0.6439,0.9103,1.0698,1.2334,1.4314,1.5698,1.6283,2.1493,2.5012,2.9858,3.4783,3.9979,4.0895,4.7062,6.676,7.4806,8.4478,9.8401,10.2307,11.7172,13.6772,15.3345,14.7533,16.4975,22.4143,22.8429,28.3618,27.0666,29.7739,36.6816,44.2498,45.96,47.8873,53.2266,52.1982,51.8572,47.4689,46.3516,44.7976,51.252,46.9119,37.8033,36.0283,47.7974,57.4181,54.8847,52.0121,51.7262,43.5955,38.0846,32.1571,29.5636,32.7851,43.7732,46.917,46.1906,44.7346,43.3704,45.1861,47.5324,37.5787,35.2663,39.2077,35.3847,44.4754,51.4166,58.8572,57.6588,51.8665,45.1255,38.3205,34.3556,32.6371,30.4316,31.398,30.4763,26.4543,20.6252,16.8827,17.3121,16.1281,14.2708,12.1529,13.1297,12.2462,12.0635,12.7299,12.5354,12.0466,11.1184,11.561,16.1756,15.967,13.1877,12.2346,12.919,10.9953,9.3864,9.9519,10.4136,12.1805,11.6253,10.0116,14.6692,12.5984,9.5306,7.7903,8.2322,7.9175,8.2285,7.7378,7.2154,7.5715,7.7714,7.821,12.4496,10.3619,8.5243,7.7307,7.744,7.1973,6.8693,6.8797,6.4391,6.6523,6.5817,4.5867,4.5672,4.1346,3.7371,3.1609,3.0069,3.6894,3.7947
207,King,WA,Seattle,53,33,11,0.8654,0.8553,0.8021,0.7622,0.7767,0.8798,0.8263,0.7772,0.7583,0.8125,0.7393,0.8374,0.8287,0.7188,0.7362,0.7487,0.7143,0.7302,0.7717,0.7924,0.8991,0.7999,0.7784,0.8605,0.928,0.8853,0.801,0.6859,0.7532,0.814,0.7998,0.8766,0.9654,0.7998,0.8036,0.9287,0.9301,0.9722,0.7178,0.5471,0.7598,0.9024,0.865,0.9276,0.9799,1.2848,1.1526,1.2203,1.4725,1.4785,1.5314,1.6567,1.7203,1.6539,1.8224,1.9218,1.9854,2.0605,1.8239,1.7092,1.8479,1.8291,1.8541,1.5908,1.4786,1.729,1.9126,2.0143,1.9022,1.7286,1.679,1.859,2.1151,2.0711,2.1982,2.02,1.7133,1.5233,1.7708,1.7403,1.6404,1.5839,1.5029,1.4496,1.5039,1.5114,1.4885,1.3278,1.3976,1.247,1.0836,0.9895,0.8761,0.9606,0.9504,1.0879,1.1908,0.9423,0.9505,0.7656,0.8048,0.7779,0.8599,0.9354,0.9266,0.7334,0.737,0.9391,1.1088,1.1005,1.009,0.9439,0.938,1.0786,1.3597,1.3613,1.3749,1.3717,1.4971,1.8245,2.0212,2.0421,1.948,2.2147,2.5373,3.1107,3.6107,3.7913,4.4246,5.2064,5.272,5.0126,4.9601,5.2618,4.7459,4.4014,4.7475,5.5765,6.9066,6.9199,6.8305,7.9288,7.64,7.6718,6.8971,6.7358,6.2901,6.2593,5.9897,7.1209,9.0963,11.2577,12.6862,12.8494,11.1257,10.343,10.8228,10.997,11.4137,11.1308,11.1054,10.8446,11.2917,10.8527,10.5063,9.0672,8.5177,8.2285,7.3,6.2657,5.5672,4.5475,4.8247,5.2576,5.8433,6.4153,7.0644,6.6384,7.5411,10.8405,12.4899,12.4982,13.4536,14.7502,14.5556,13.8417,13.8562,12.9986,11.6371,11.8313,10.6136,8.7684,9.2074,9.2299,9.5642,10.2725,10.4843,10.236,9.3167,8.6141,8.7126,9.3443,8.8145,8.389,8.4901,8.8739,9.4108,8.3544,7.1812,7.7166,7.5937,7.7682,7.5969,7.3045,5.9894,5.5777,5.0992,4.6153,4.497,3.88,3.4767,3.0269,2.5336,2.4876,2.4031,2.1083,1.7599,1.7653
